ticker,roce,roe,pe,market_cap,pat
TCS.NS,78.4,65.0,24.3,1176711,0.0
INFY.NS,40.6,30.3,25.8,658701,0.0
RELIANCE.NS,7.62,6.66,57.0,2010113,0.0
HDFCBANK.NS,7.35,14.3,22.7,1530132,0.0
ICICIBANK.NS,7.62,17.9,21.6,1021068,0.0
KOTAKBANK.NS,7.45,15.4,26.5,435064,0.0
LT.NS,18.5,17.1,41.3,480551,0.0
SBIN.NS,6.37,17.3,10.3,728651,0.0
AXISBANK.NS,6.95,16.0,13.7,361600,0.0
BAJFINANCE.NS,11.5,18.5,39.1,576934,0.0
HINDUNILVR.NS,27.6,20.6,57.5,593577,0.0
ITC.NS,36.9,27.9,27.0,528240,0.0
NESTLEIND.NS,95.7,83.0,75.5,233707,0.0
MARICO.NS,42.8,36.5,63.1,96241,0.0
BRITANNIA.NS,56.8,58.0,64.8,139311,0.0
COLPAL.NS,105.0,81.2,45.8,65716,0.0
DABUR.NS,24.6,19.6,66.5,93358,0.0
GODREJCP.NS,19.7,15.2,95.3,129533,0.0
EMAMILTD.NS,35.4,32.7,30.1,25882,0.0
JUBLFOOD.NS,10.7,9.39,216.0,45526,0.0
ASIANPAINT.NS,27.3,20.7,59.2,228246,0.0
BERGEPAINT.NS,25.2,20.2,61.0,65768,0.0
KANSAINER.NS,14.0,10.4,32.2,20091,0.0
PIDILITIND.NS,30.5,23.2,72.5,151486,0.0
INDIGO.NS,19.6,129.0,31.5,228380,0.0
TITAN.NS,17.2,21.3,90.5,301847,0.0
BAJAJ-AUTO.NS,37.6,28.5,28.3,229494,0.0
HEROMOTOCO.NS,31.5,23.8,19.6,88067,0.0
EICHERMOT.NS,31.7,25.0,35.7,152759,0.0
TVSMOTOR.NS,34.8,30.7,50.3,136350,0.0
M&M.NS,27.0,20.8,32.4,384804,0.0
TATAMOTORS.NS,20.3,17.9,43.9,249510,0.0
ASHOKLEY.NS,37.0,31.8,22.5,73002,0.0
MARUTI.NS,21.7,15.7,28.1,391819,0.0
ULTRACEMCO.NS,11.7,9.73,58.4,365992,0.0
AMBUJACEM.NS,8.8,8.77,38.7,145423,0.0
ACC.NS,17.6,13.4,16.1,37168,0.0
SHREECEM.NS,7.17,5.69,94.1,111381,0.0
JKCEMENT.NS,14.5,14.6,60.1,49954,0.0
RAMCOCEM.NS,4.82,1.54,241.0,27221,0.0
JSWSTEEL.NS,10.2,8.89,36.4,251197,0.0
TATASTEEL.NS,12.7,10.9,13.5,196491,0.0
SAIL.NS,6.68,4.32,23.2,55060,0.0
HINDALCO.NS,13.4,9.54,23.4,149575,0.0
VEDL.NS,18.5,21.8,11.4,174540,0.0
COALINDIA.NS,96.6,96.2,14.0,238005,0.0
NMDC.NS,30.3,24.4,9.03,60312,0.0
JINDALSTEL.NS,11.8,9.46,21.4,96169,0.0
NATIONALUM.NS,43.7,32.6,6.51,34694,0.0
MOIL.NS,19.1,15.0,20.0,7638,0.0
ADANIENT.NS,12.9,12.1,115.0,301345,0.0
ADANIPORTS.NS,8.85,9.73,109.0,315197,0.0
ADANIPOWER.NS,23.7,27.0,20.1,234540,0.0
